tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
484,3/5/2017 15:40,3/5/2017 15:49,3330,Henry St & Bay St,40.6725058,-74.00494695,3322,12 St & 4 Ave,40.668603,-73.9904394,15563,Subscriber,1991,1
1085,7/2/2016 18:41,7/2/2016 18:59,225,W 14 St & The High Line,40.74195138,-74.00803013,444,Broadway & W 24 St,40.7423543,-73.98915076,14997,Customer,,0
332,9/1/2016 20:19,9/1/2016 20:25,325,E 19 St & 3 Ave,40.73624527,-73.98473765,466,W 25 St & 6 Ave,40.74395411,-73.99144871,25583,Subscriber,1984,1
271,12/12/2014 12:50,12/12/2014 12:55,536,1 Ave & E 30 St,40.74144387,-73.97536082,546,E 30 St & Park Ave S,40.74444921,-73.98303529,18987,Subscriber,1966,1
2346,08:51.2,47:57.2,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,3002,South End Ave & Liberty St,40.711512,-74.015756,28300,Customer,1969,0
1137,12/19/2017 21:02,12/19/2017 21:21,401,Allen St & Rivington St,40.72019576,-73.98997825,3085,Roebling St & N 4 St,40.71469,-73.95739,31653,Subscriber,1982,1
640,5/17/2016 17:17,5/17/2016 17:27,517,Pershing Square South,40.751581,-73.97791,475,E 16 St & Irving Pl,40.73524276,-73.98758561,18928,Subscriber,1984,2
821,00:28.7,14:10.1,3134,3 Ave & E 62 St,40.76312584,-73.96526895,524,W 43 St & 6 Ave,40.75527307,-73.98316936,27842,Customer,1969,0
1003,49:03.1,05:46.4,3641,Broadway & W 25 St,40.74286877,-73.98918629,516,E 47 St & 1 Ave,40.75206862,-73.96784384,18771,Subscriber,1992,1
544,7/27/2017 21:22,7/27/2017 21:31,392,Jay St & Tech Pl,40.695065,-73.987167,3410,Dean St & Hoyt St,40.6864442,-73.98759104,19463,Subscriber,1984,1
2274,02:56.9,40:51.7,3570,35 Ave & 37 St,40.7557327,-73.9236611,3570,35 Ave & 37 St,40.7557327,-73.9236611,24892,Subscriber,1986,1
487,10/11/2016 18:41,10/11/2016 18:49,505,6 Ave & W 33 St,40.74901271,-73.98848395,468,Broadway & W 55 St,40.7652654,-73.98192338,17550,Subscriber,1979,1
382,12/20/2015 19:04,12/20/2015 19:10,494,W 26 St & 8 Ave,40.74734825,-73.99723551,497,E 17 St & Broadway,40.73704984,-73.99009296,17278,Subscriber,1967,1
