UPCMasterId,UPC,UPCName,ASINMasterId,ASIN,ASIN_Name
48852,2840063250,"Nut Harvest, Fruit & Nut Mix, 16 Count",27989,B01FCVTXCC,"Nut Harvest Nut & Fruit Mix, 3 oz,16 Count"
48828,2840063251,"Nut Harvest, Chocolate & Nut Mix, 16 Count",27990,B01FCVTYOE,"Nut Harvest Nut & Chocolate Mix, 16 Count"
48859,2840063252,"Nut Harvest, Almonds, 16 Count",27993,B01FCVU25Y,"Nut Harvest Lightly Roasted Almonds, 3oz,16 Count"
48851,2840063253,"Nut Harvest Variety Pack, Premium Nut Mix, 16 Count",27991,B01FCVU1Z0,"Nut Harvest Premium Nut Mix Variety Pack, 16 Count"
64640,28400632546,"Nut Harvest Trail Mix Variety Pack, 16 Count",27986,B01FUHXVS0,"Nut Harvest Trail Mix Variety Pack, 16 Count"
64502,28400634458,"Sunchips Veggie Harvest Snacks, Spring Herb & Parmesan, 7 Oz",57426,B06XF7YBC1,"SunChips Veggie Harvest Spring Herb & Parmesan Flavored Vegetable and Whole Grain Snacks, 8 Ounce"
64502,28400634458,"Sunchips Veggie Harvest Snacks, Spring Herb & Parmesan, 7 Oz",57324,B06WW98M4X,"Sunchips Veggie Harvest Chips, Spring Herb and Parmesan, 7 Ounce"
64261,28400634502,"Ruffles Potato Chips, Jalapeno Ranch, 8.5 Oz",57429,B06XFRTGKY,"Ruffles Jalape̱o Ranch Flavored Potato Chips, 8.5 Ounce"
64261,28400634502,"Ruffles Potato Chips, Jalapeno Ranch, 8.5 Oz",57325,B06WWGPNH6,"Ruffles Ridged Potato Chips, Jalapeno Ranch, 8.5 Ounce"
48583,2840063454," Frito-Lay Ultimate Snack Care Package - Chips, Cookies, Crackers & More 40 CT BOX",27466,B01EAG3VZA,"Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, 40 Count"
50051,2840063455,"Ultimate Flavor Snack Package, Variety of Hot & Spicy Chips, Popcorn, Nuts & More, 30 Count",27468,B01EAG3TPW,"Ultimate Flavor Snack Package, Variety of Hot & Spicy Chips, Popcorn, Nuts & More, 30 Count"
46524,28400634557,Frito-Lay Hot & Spicy Mix 30 Count,27473,B01EHTE8VQ,"Frito-Lay Ultimate Hot & Spicy Flavor Snack Package, Variety of chips, popcorn, nuts & more, 35.01 Ounce"
57600,28400634564,"Frito Lay Chips Popcorn & Nuts Variety Box, 30 Ct",27465,B01EAG3VSW,"Send & Share Variety Snack Box, Assortment of Baked, Popped and Nut Snacks, 30 Count"
46523,28400634571,Frito-Lay Sweet & Salty Mix 50 Count,27467,B01EAG3VUA,"Sweet & Salty Snacks Variety Box, Mix of Cookies, Crackers, Chips & Nuts, 50 Count"
46523,28400634571,Frito-Lay Sweet & Salty Mix 50 Count,27474,B01EHTEANM,"FRITO-LAY SWEET & SALTY SNACKS VARIETY BOX, BUNDLE OF COOKIES, CRACKERS, CHIPS &?? NUTS, 66.02 OUNCE"
64262,28400634786,"Ruffles Potato Chips, Flamin' Hot, 8.5 Oz",57331,B06X9JZZ24,"Ruffles Ridged Potato Chips, Flamin' Hot, 8.5 Ounce"
64262,28400634786,"Ruffles Potato Chips, Flamin' Hot, 8.5 Oz",57428,B06XFRT8CD,"Ruffles Flamin' Hot Flavored Potato Chips, 8.5 Ounce"
64263,28400634830,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Oz",57431,B06XFSF4TB,"Fritos Spicy Jalape̱o Flavored Corn Chips, 9.25 Ounce"
64263,28400634830,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Oz",57313,B06WW16X1P,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Ounce"
64264,28400635868,"Tostitos Chunky Salsa, Splash of Lime, Mild, 15.5 Oz",87078,B06WD51NVY,"Tostitos Mild Splash of Lime Flavored Chunky Salsa, 15.5 Ounce"
64265,28400636001,"Smartfood Popcorn, Parmesan Garlic, 7 Oz",88169,B0752MRWTN,"Smartfood Parmesan Garlic Flavored Popcorn, 7 oz Bag"
64265,28400636001,"Smartfood Popcorn, Parmesan Garlic, 7 Oz",82250,B01N9XRQ1A,"Smartfood Parmesan and Garlic Flavored Popcorn, 7 Ounce"
64526,28400636254,"Smartfood Delight Sea Salted Popcorn, 40 Count",55552,B01GGHXVPG,"Smartfood Delight Sea Salted Popcorn, Less Than 100 Calories Per Bag, 40 Count"
