UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
5200051248,Beverages,Propel,Gatorade,Corporate,True,True
5200050648,Beverages,Propel,Gatorade,Corporate,True,True
5200000342,Beverages,Propel,Gatorade,Corporate,True,True
5200051200,Beverages,Propel,Gatorade,Corporate,True,True
5200050640,Beverages,Propel,Gatorade,Corporate,True,True
5200013341,Beverages,Propel,Gatorade,Corporate,True,True
5200013469,Beverages,Propel,Gatorade,Corporate,True,True
5200000339,Beverages,Propel,Gatorade,Corporate,True,True
5200051232,Beverages,Propel,Gatorade,Corporate,True,True
5200050632,Beverages,Propel,Gatorade,Corporate,True,True
5200000299,Beverages,Propel,Gatorade,Corporate,True,True
5200013474,Beverages,Propel,Gatorade,Corporate,True,True
5200000344,Beverages,Propel,Gatorade,Corporate,True,True
1200028617,Beverages,Pure Leaf,PBC,JV,True,True
1200028626,Beverages,Pure Leaf,PBC,JV,True,True
1200028618,Beverages,Pure Leaf,PBC,JV,True,True
4850002065,Beverages,Pure Leaf,PBC,JV,True,True
1200028623,Beverages,Pure Leaf,PBC,JV,True,True
1200004117,Beverages,Pure Leaf,PBC,JV,True,True
1200004116,Beverages,Pure Leaf,PBC,JV,True,True
1200028628,Beverages,Pure Leaf,PBC,JV,True,True
1200028622,Beverages,Pure Leaf,PBC,JV,True,True
1200028627,Beverages,Pure Leaf,PBC,JV,True,True
1200028619,Beverages,Pure Leaf,PBC,JV,True,True
4850002063,Beverages,Pure Leaf,PBC,JV,True,True
1200028629,Beverages,Pure Leaf,PBC,JV,True,True
4100000992,Beverages,Pure Leaf,PBC,JV,True,True
1200028620,Beverages,Pure Leaf,PBC,JV,True,True
4850002064,Beverages,Pure Leaf,PBC,JV,True,True
3000007200,Quaker,Quaker,Quaker,Corporate,True,True
3000031407,Quaker,Chewy,Quaker,Corporate,True,True
3000006531,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000006610,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000006301,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000004351,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000031528,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000006560,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
