UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
2174,2840015602,Fritos Corn Chips Flavor Twists Honey Barbecue 9.25 OZ BAG,NULL,FRITOS CORN SNACK HONEY BARBEQUE BAG 10.25 OZ ,Doritos Cool Ranch Flavored Tortilla Chips 11 Ounce Plastic Bag,Doritos Cool Ranch Flavored Tortilla Chips 11 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
2175,2840024043,FRITOS CORN SNACKS HONEY BBQ TWISTS FLVR,Mainstream,FRITOS FLAVOR TWISTS CORN SNACK HONEY BBQ BAG 9.75 OZ ,Fritos Flavor Twists Honey Bbq Corn Snacks  9.75 Ounce Plastic Bag,Fritos Flavor Twists Honey Bbq Corn Snacks  9.75 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
41,71941070001,5-Hour Energy Shot Berry Extra Strength 1.93 OZ CAN,NULL,5 HOUR ENERGY EXTRA STRENGTH ENERGY SHOT BERRY 4 CALORIES 1 CT 1.93 OZ ,5-Hour Energy Shot Berry Extra Strength 1.93 OZ CAN,5-Hour Energy Shot Berry Extra Strength 1.93 OZ CAN,0,0,1,0,ElvnDgtIRIMtch,29:46.5
52,7800001168,7-Up Diet - 12 pk 12 OZ CAN,NULL,DIET 7UP 12PK 12/12 FO,7-Up Diet - 12 pk 12 OZ CAN,7-Up Diet - 12 pk 12 OZ CAN,0,0,1,0,FirstIRIMtch,29:46.5
2172,2840015601,Fritos Corn Chips Chili Cheese 9.25 OZ BAG,NULL,FRITOS CORN CHIP CHILI CHEESE BAG 10.25 OZ - 0028400156011,Fritos Chili Cheese 10.25z-IA,Fritos Chili Cheese 10.25z,0,0,1,0,FirstIRIMtch,29:46.5
2173,2840024052,FRITOS CHIPS CORN CHILI CHEESE,Mainstream,FRITOS CORN CHIP CHILI CHEESE BAG 9.75 OZ ,Fritos Chili Cheese Flavored Corn Chips 9.75 Ounce Plastic Bag,Fritos Chili Cheese Flavored Corn Chips 9.75 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
2176,2840003901,Fritos Orig Corn Chips (14 Oz),NULL,FRITOS CORN CHIPS 14 OZ,Fritos Original Corn Chips 14 Ounce Plastic Bag,Fritos Original Regular Corn Chips 14 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
38,71941050001,5-Hour Energy Original Berry Shot 2 OZ CAN,NULL,5 HOUR ENERGY ENERGY SHOT BERRY 4 CALORIES 1 CT 1.93 OZ ,5-Hour Energy Original Berry Shot 2 OZ CAN,5-Hour Energy Original Berry Shot 2 OZ CAN,0,0,1,0,ElvnDgtIRIMtch,29:46.5
44,7800001214,7-Up - 24 pk 12 OZ CAN,NULL,7UP 24PK 24/12 FO,7-Up - 24 pk 12 OZ CAN,7-Up - 24 pk 12 OZ CAN,0,0,1,0,FirstIRIMtch,29:46.5
46,7800000161,Seven Up Quick Slam 6,NULL,7UP 20 FO,Seven Up Quick Slam 6,Seven Up Quick Slam 6,0,0,1,0,FirstIRIMtch,29:46.5
48,7800000034,7UP 1 Litre Single Glass 15 Oz,NULL,7UP 2 LT,7UP 1LPETSNGL(15),7UP1 LTR PET BOT SGL (15),0,0,1,0,FirstIRIMtch,29:46.5
54,7800001234,7-Up Diet - 24 pk 12 OZ CAN,NULL,DIET 7UP 24PK 24/12 FO,7-Up Diet - 24 pk 12 OZ CAN,7-Up Diet - 24 pk 12 OZ CAN,0,0,1,0,FirstIRIMtch,29:46.5
56,7800000162,7-Up Diet - 6 pk 20 OZ BTL,NULL,DIET 7UP 20 FO,7-Up Diet - 6 pk 20 OZ BTL,7-Up Diet - 6 pk 20 OZ BTL,0,0,1,0,FirstIRIMtch,29:46.5
