UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
1223,68826704154,Clear Splash Cranberry Raspberry Sparkling Water Beverage - 6 pk 20 OZ BTL,,PRIVATE LABEL CRANBERRY RASPBERRY SPARKLING WATER PLASTIC BOTTLE 6 CT 120 OZ ,Clear Splash Cranberry Raspberry Sparkling Water Beverage - 6 pk 20 OZ BTL,Clear Splash Cranberry Raspberry Sparkling Water Beverage - 6 pk 20 OZ BTL,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1241,4900004753,Coca-Cola Cherry Zero 2 LTR BTL,,COCA COLA CHERRY ZERO SODA CHERRY COLA NR PLASTIC BOTTLE 1 CT 67.6 OZ ,Coca-Cola Cherry Zero 2 LTR BTL,Coca-Cola Cherry Zero 2 LTR BTL,0,0,1,FALSE,FirstIRIMtch,29:46.5
1244,4900002890,Classic Coke 12Pk_Fr,,COKE CLASSIC 12PK 12/12 FO,Classic Coke 12Pk_Fr,Classic Coke 12Pk_Fr,0,0,1,FALSE,FirstIRIMtch,29:46.5
1245,4900001463,Coca Cola Classic,,COKE CLASSIC 20PK 20/12 FO,Coca Cola Classic,Coca Cola Classic,0,0,1,FALSE,FirstIRIMtch,29:46.5
1250,4900004069,Coca-Cola Classic - 8 pk 12 OZ BTL,,COCA COLA CLASSIC SODA COLA PLASTIC BTL FRDG PCK 8 CT 96 OZ ,Coca-Cola Classic - 8 pk 12 OZ BTL,Coca-Cola Classic - 8 pk 12 OZ BTL,0,0,1,FALSE,FirstIRIMtch,29:46.5
1251,4900005537,Coca Cola Classic,,COKE CLASSIC 1.25 LT,Coca Cola Classic,Coca Cola Classic,0,0,1,FALSE,FirstIRIMtch,29:46.5
1252,4900002283,Coca-Cola Classic 1.5 LTR BTL,,COKE CLASSIC SODA COLA PLASTIC BOTTLE 1 CT 50.7 OZ ,Coca-Cola Classic 1.5 LTR BTL,Coca-Cola Classic 1.5 LTR BTL,0,0,1,FALSE,FirstIRIMtch,29:46.5
1264,4900000463,Coke De Mexico,,COKE MEXICAN 12 FO,Coke De Mexico,Coke De Mexico,0,0,1,FALSE,FirstIRIMtch,29:46.5
1266,4900006525,Coca Cola Life,,COKE LIFE GLASS BTL 6PK 6/8 FO,Coca Cola Life,Coca Cola Life,0,0,1,FALSE,FirstIRIMtch,29:46.5
149,81878001252,Angie's BOOMCHICKAPOP Holidrizzle Kettle Corn Pumpkin Spice Flavored 4.5 OZ BAG,,ANGIES BC POP PMPK PPCORN 4.5 OZ,Angie's BOOMCHICKAPOP Holidrizzle Kettle Corn Pumpkin Spice Flavored 4.5 OZ BAG,Angie's BOOMCHICKAPOP Holidrizzle Kettle Corn Pumpkin Spice Flavored 4.5 OZ BAG,0,0,1,FALSE,FirstIRIMtch,29:46.5
198,7630184504,Apleve Apple Jce 8Pk,,APL&EVE 100% APPL JCE 8PK 8/6.75 FO,Apleve Apple Jce 8Pk,Apleve Apple Jce 8Pk,0,0,1,FALSE,FirstIRIMtch,29:46.5
201,7630184002,Apleve Big Bird 8P,,APPLE & EVE SESAME STREET BIG BIRDS APPLE JUICE 8 CT 33.84 OZ ,Apleve Big Bird 8P,Apleve Big Bird 8P,0,0,1,FALSE,FirstIRIMtch,29:46.5
206,7630184507,Apleve Vry Berry 8Pk,,APPLE & EVE VERY BERRY JUICE 8 CT 54 OZ ,Apleve Vry Berry 8Pk,Apleve Vry Berry 8Pk,0,0,1,FALSE,FirstIRIMtch,29:46.5
210,7630184515,Apleve Cranbry 8Pk,,APPLE & EVE CRANBERRY JUICE 8 CT 54 OZ ,Apleve Cranbry 8Pk,Apleve Cranbry 8Pk,0,0,1,FALSE,FirstIRIMtch,29:46.5
212,7630124014,Apleve Frt Berry 8Pk,,APL&EVE FRTBL BERRY 8PK 8/6.75 FO,Apleve Frt Berry 8Pk,Apleve Frt Berry 8Pk,0,0,1,FALSE,FirstIRIMtch,29:46.5
218,3425600128,Zeig Apple Cider,,ZGLR CIDER REFRIGERATED 1 GAL,Zeig Apple Cider,Zeig Apple Cider,0,0,1,FALSE,FirstIRIMtch,29:46.5
219,68826703326,Apple Cider (Brand May Vary) Fresh 1 GAL,,PRIVATE LABEL APPLE CIDER NT FRM CNCNTRT PSTRZ PLASTIC JUG 1 CT 128 OZ ,Apple Cider (Brand May Vary) Fresh 1 GAL,Apple Cider (Brand May Vary) Fresh 1 GAL,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
221,2112042394,Apple Cider (Brand May Vary) Fresh 1/2 GAL,,PRIVATE LABEL APPLE CIDER NOT FROM CONCENTRATE PLASTIC JUG 1 CT 64 OZ ,Apple Cider (Brand May Vary) Fresh 1/2 GAL,Apple Cider (Brand May Vary) Fresh 1/2 GAL,0,0,1,FALSE,FirstIRIMtch,29:46.5
