,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,lat_dist,lon_dist,lat_miles,lon_miles,totaldistance,Speed,date,Time_day,age,weight,calories_burned
28,662.0,2018-05-30 17:25:54.084,2018-05-30 17:36:56.4330,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,465.0,Broadway & W 41 St,40.75513557,-73.98658032,28965,Subscriber,1971,1,-0.015422559999997532,-0.007983729999992306,-1.7154487767732065,-0.6802660798947152,1.8454068508564756,10.035445110397752,2018-05-30,17,40-59,200.9,134.3391919191919
29,646.0,2017-11-11 14:48:19.000,2017-11-11 14:59:06,382.0,University Pl & E 14 St,40.73492695,-73.99200509,3260.0,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,30634,Subscriber,1988,2,0.007863316516939278,0.004616280315531185,0.8746353848107055,0.3933373140054291,0.9590105833367932,5.344331424167888,2017-11-11,14,20-39,167.6,109.36323232323231
30,263.0,2017-11-01 19:44:20.000,2017-11-01 19:48:44,3386.0,1 Pl & Clinton St,40.6809591,-73.99905709,3409.0,Bergen St & Smith St,40.686744299999994,-73.99063168,32775,Subscriber,1977,1,-0.00578519999999827,-0.008425409999986755,-0.6434868311996824,-0.7179001083706796,0.9640829152754664,13.196572224302962,2017-11-01,19,40-59,200.9,53.37040404040404
31,230.0,2014-04-14 14:13:57.000,2014-04-14 14:17:47,520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,17954,Subscriber,1986,1,0.004920079999997995,0.003659210000009239,0.5472596778760613,0.31178865545556084,0.6298454736677853,9.858450892191422,2014-04-14,14,20-39,196.9,45.74444444444444
32,703.0,2019-04-21 17:19:08.580,2019-04-21 17:30:52.4940,3106.0,Driggs Ave & N Henry St,40.72325,-73.94308000000002,539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,34918,Subscriber,1971,1,0.007901750000002039,0.017161159999972142,0.8789103347222091,1.4622432170975586,1.7060593783421851,8.736577186389571,2019-04-21,17,40-59,200.9,142.65929292929292
33,222.0,2014-08-13 19:36:09.000,2014-08-13 19:39:51,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,294.0,Washington Square E,40.73049393,-73.99572140000002,17261,Subscriber,1991,1,-0.0023489300000036906,0.0055074000000274745,-0.261271092168412,0.4692665468940526,0.5370974545059238,8.709688451447413,2014-08-13,19,20-39,196.9,44.15333333333334
34,434.0,2016-09-16 21:18:19.000,9/16/2016 21:25:34,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,253.0,W 13 St & 5 Ave,40.73543934,-73.99453948,20932,Subscriber,1992,1,0.005524399999998764,0.008517350000005308,0.614478090693458,0.7257339984694432,0.9509327844157668,7.887921714047836,2016-09-16,21,20-39,196.9,86.31777777777779
35,690.0,2017-04-27 13:09:59.000,2017-04-27 13:21:29,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,348.0,W Broadway & Spring St,40.72490985,-74.00154702,20641,Subscriber,1981,2,0.016829839999999763,0.007391460000008009,1.8719802964808043,0.6298007972349875,1.9750846246705955,10.304789346107453,2017-04-27,13,20-39,167.6,116.8121212121212
36,178.0,2017-05-23 15:17:41.000,2017-05-23 15:20:40,417.0,Barclay St & Church St,40.71291224,-74.01020234,195.0,Liberty St & Broadway,40.70905623,-74.01043382,27551,Subscriber,1972,1,0.003856009999999799,0.0002314799999965089,0.4289033492316428,0.019723611917212325,0.4293566161702663,8.683616956252576,2017-05-23,15,40-59,200.9,36.12141414141414
37,249.0,2018-07-19 13:42:22.821,2018-07-19 13:46:31.8420,3659.0,W 17 St & 9 Ave,40.7429489166009,-74.00413691997528,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,26562,Subscriber,1995,1,0.0005610466009002835,-0.0068745699752810205,0.062405119852171786,-0.5857583821159829,0.5890732392520456,8.516721531354875,2018-07-19,13,20-39,196.9,49.52333333333333
